"id","dimensionId","code","text","indicator","order"
"cmoecyosy0009f1jcnyjiqtrv","cmoecyors0002f1jc15v0sfhp","Q1","Informasi produk di TikTok Shop sesuai dengan kebutuhan saya.","Relevansi informasi",1
"cmoecyot5000bf1jcz72lbhd2","cmoecyors0002f1jc15v0sfhp","Q2","TikTok Shop menampilkan informasi produk secara lengkap (deskripsi, harga, ulasan, dan foto).","Kelengkapan informasi",2
"cmoecyotd000df1jc6lsgcq0q","cmoecyors0002f1jc15v0sfhp","Q3","Informasi yang ditampilkan di TikTok Shop mudah dipahami.","Kejelasan informasi",3
"cmoecyotj000ff1jcdbezkhdn","cmoecyors0002f1jc15v0sfhp","Q4","Informasi produk yang ditampilkan di berbagai halaman aplikasi bersifat konsisten.","Konsistensi konten",4
"cmoecyotr000hf1jcjt49goml","cmoecyors0002f1jc15v0sfhp","Q5","Konten promosi dan rekomendasi produk selalu diperbarui secara rutin.","Keterkinian konten",5
"cmoecyotw000jf1jc5ttuthae","cmoecyory0003f1jcdpil254j","Q6","Deskripsi produk di TikTok Shop sesuai dengan barang yang diterima.","Ketepatan data",6
"cmoecyou2000lf1jc4qzd468r","cmoecyory0003f1jcdpil254j","Q7","Sistem rekomendasi produk di TikTok Shop menampilkan hasil yang akurat sesuai minat saya.","Keandalan sistem",7
"cmoecyou9000nf1jco1pxt52l","cmoecyory0003f1jcdpil254j","Q8","Harga yang tertera sesuai dengan harga akhir saat transaksi.","Ketepatan harga",8
"cmoecyouf000pf1jcz7jx8q8t","cmoecyory0003f1jcdpil254j","Q9","Ulasan dan rating pengguna di TikTok Shop mencerminkan pengalaman sebenarnya.","Kejujuran ulasan",9
"cmoecyoun000rf1jc1bma24m3","cmoecyos40004f1jcrk8muixo","Q10","Tampilan halaman TikTok Shop tersusun rapi dan mudah dibaca.","Tata letak antarmuka",10
"cmoecyout000tf1jcxacpjlb8","cmoecyos40004f1jcrk8muixo","Q11","Warna, ikon, dan font yang digunakan memudahkan saya memahami informasi.","Kejelasan visual",11
"cmoecyov0000vf1jcebemgszg","cmoecyos40004f1jcrk8muixo","Q12","Menu navigasi pada aplikasi TikTok Shop mudah diikuti.","Struktur menu",12
"cmoecyov8000xf1jcczqq5tig","cmoecyos40004f1jcrk8muixo","Q13","Desain aplikasi TikTok Shop menarik dan tidak membingungkan.","Estetika tampilan",13
"cmoecyovf000zf1jc6al9h4xw","cmoecyosa0005f1jc1cxzbhxu","Q14","Saya mudah menemukan produk yang saya cari di TikTok Shop.","Kemudahan navigasi",14
"cmoecyovl0011f1jc20al0cur","cmoecyosa0005f1jc1cxzbhxu","Q15","Proses pembelian di TikTok Shop mudah dan tidak memerlukan waktu lama.","Kemudahan transaksi",15
"cmoecyovq0013f1jcwh932esj","cmoecyosa0005f1jc1cxzbhxu","Q16","Fitur-fitur dalam aplikasi TikTok Shop mudah digunakan tanpa bantuan orang lain.","Interaktivitas",16
"cmoecyovv0015f1jcwn1ix1ku","cmoecyosa0005f1jc1cxzbhxu","Q17","Saya dapat memahami cara menggunakan TikTok Shop tanpa perlu panduan khusus.","Kecepatan pembelajaran",17
"cmoecyow10017f1jckvt6jy48","cmoecyosg0006f1jc2h5hedjs","Q18","Aplikasi TikTok Shop cepat menampilkan hasil pencarian produk.","Kecepatan respons",18
"cmoecyow70019f1jcghkdnibp","cmoecyosg0006f1jc2h5hedjs","Q19","Notifikasi promosi dan penawaran dikirim tepat waktu.","Ketepatan notifikasi",19
"cmoecyowe001bf1jc147lay2z","cmoecyosg0006f1jc2h5hedjs","Q20","Aplikasi TikTok Shop jarang mengalami gangguan saat digunakan.","Kelancaran akses",20
"cmoecyowk001df1jcitlpfot4","cmoecyosg0006f1jc2h5hedjs","Q21","Informasi stok dan ketersediaan produk selalu diperbarui secara real time.","Ketepatan pembaruan",21
"cmoecyowr001ff1jcvai6ub9l","cmoecyoso0007f1jcid0wcayi","L1","Saya berniat berbelanja lagi di TikTok Shop pada kesempatan berikutnya.","Niat beli ulang",22
"cmoecyowx001hf1jcitibv2kc","cmoecyoso0007f1jcid0wcayi","L2","Saya akan merekomendasikan TikTok Shop kepada orang lain.","Rekomendasi ke orang lain",23
"cmoecyox2001jf1jcxlmrbsix","cmoecyoso0007f1jcid0wcayi","L3","Saya merasa puas berbelanja di TikTok Shop.","Kepuasan umum",24
"cmoecyox8001lf1jclaojl3u4","cmoecyoso0007f1jcid0wcayi","L4","Saya lebih memilih tetap menggunakan TikTok Shop dibanding platform lain.","Keengganan berpindah platform",25
"cmoecyoxf001nf1jcpcn43q2h","cmoecyoso0007f1jcid0wcayi","L5","Saya merasa TikTok Shop memahami kebutuhan dan preferensi saya.","Keterikatan emosional",26
"cmoecyoxm001pf1jck372pscl","cmoecyoso0007f1jcid0wcayi","L6","Saya merasa TikTok Shop memiliki kinerja sistem yang stabil dan handal.","Kepercayaan sistem",27
